"",externallogid,source,location,sensor_type,unit,ignore
155,752566,Rum 1.233/Afbryder_loft_lys,1.233,TBD,TBD,0
156,753498,Rum 1.213/CO2_1.213,1.213,co2,ppm,0
157,753499,Rum 1.213/TRU01_1.213,1.213,temperature,c,0
158,753500,Rum 1.217/TRU01_1.217,1.217,temperature,c,0
159,753501,Rum 1.217/CO2_1.217,1.217,co2,ppm,0
160,753502,Rum 1.229/TRU01_1.229,1.229,temperature,c,0
161,753503,Rum 1.229/CO2_1.229,1.229,co2,ppm,0
162,753504,Rum 1.231/TRU01_1.231,1.231,temperature,c,0
163,753505,Rum 1.231/CO2_1.231,1.231,co2,ppm,0
164,753506,Rum 1.233/TRU01_1.233,1.233,temperature,c,0
165,753507,Rum 1.233/CO2_1.233,1.233,co2,ppm,0
166,696837,Rum 1.215/Vindue_1.215,1.215,window_open,bool,0
167,696838,Rum 1.217/Vindue_1.217,1.217,window_open,bool,0
168,696840,Rum 1.229/Vindue_1.229,1.229,window_open,bool,0
169,696841,Rum 1.231/Vindue_1.231,1.231,window_open,bool,0
170,696842,Rum 1.233/Vindue_1.233,1.233,window_open,bool,0
171,730988,Rum 1.215/Lux_meter,1.215,occupancy,lux,0
